Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
ERX2161003	ERR2103717	2017-09-04 08:28:19	2017-09-05 08:29:31	0	0	0	0	81		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR2103717/ERR2103717.1	5strich_Mtub_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	500	100.0	ILLUMINA	Illumina MiSeq	ERP067363	PRJEB65014		401325	ERS1884646	SAMEA104225628	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104225628							no					Anika Winkler	ERA1038863		public	55C5582176155A3F3168F3881E370F10	29E14CA556D42A792BDB09EAA474D149		
ERX2161004	ERR2103718	2017-09-04 08:28:19	2021-10-16 22:21:36	4789932	718489800	4789932	150	350		https://sra-download.ncbi.nlm.nih.gov/traces/era3/ERR/ERR2103/ERR2103718	H4_Wt_Mtb_NH3_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	500	100.0	ILLUMINA	Illumina MiSeq	ERP067363	PRJEB65014		401325	ERS1884647	SAMEA104225629	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104225629							no					Anika Winkler	ERA1038863		public	041794169AD00393EA4204F0B5F70C55	C073B372686D2EF4FA28EAF73D6C6416		
ERX2161005	ERR2103719	2017-09-04 08:28:19	2021-10-16 22:20:15	4139487	620923050	4139487	150	302		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR2103/ERR2103719	H5_Del_Rv1985c_NH3_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	500	100.0	ILLUMINA	Illumina MiSeq	ERP067363	PRJEB65014		401325	ERS1884648	SAMEA104225630	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104225630							no					Anika Winkler	ERA1038863		public	5C80A140F8C95D0D6CE2E1EFB9537C60	F8CA5DAF49FB63A5B2FFE415EACB56FF		
ERX2161006	ERR2103720	2017-09-04 08:28:19	2017-09-05 08:30:18	0	0	0	0	309		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/ERR2103720/ERR2103720.1	H6_Del_Rv1985c_Lysin_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	500	100.0	ILLUMINA	Illumina MiSeq	ERP067363	PRJEB65014		401325	ERS1884649	SAMEA104225631	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104225631							no					Anika Winkler	ERA1038863		public	729B327B34BF3FD0517005F1C8F90388	08B238D46C1B4AF9F69897A1DD33F159		
ERX2161007	ERR2103721	2017-09-04 08:28:19	2021-10-16 22:21:14	4391950	658792500	4391950	150	333		https://sra-download.ncbi.nlm.nih.gov/traces/era3/ERR/ERR2103/ERR2103721	H7_Del_Rv1985c_Histidin_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	500	100.0	ILLUMINA	Illumina MiSeq	ERP067363	PRJEB65014		401325	ERS1884650	SAMEA104225632	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104225632							no					Anika Winkler	ERA1038863		public	B2086A55D2D56AC22F76E97CF8073B6D	8CFB74F6228752ECB58EF7AD65C0922D		
ERX2161008	ERR2103722	2017-09-04 08:28:19	2021-10-16 22:21:22	3928382	589257300	3928382	150	288		https://sra-download.ncbi.nlm.nih.gov/traces/era3/ERR/ERR2103/ERR2103722	H8_Wt_Mtb_Histidin_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	500	100.0	ILLUMINA	Illumina MiSeq	ERP067363	PRJEB65014		401325	ERS1884651	SAMEA104225633	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104225633							no					Anika Winkler	ERA1038863		public	981A031658A1453E2DFD89ECBEFEEC92	93CD59ADEE409394E532FC483572E131		
ERX2161009	ERR2103723	2017-09-04 08:28:19	2021-10-16 22:19:36	3679443	551916450	3679443	150	268		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR2103/ERR2103723	H9_Wt_Mtb_Lysin_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	500	100.0	ILLUMINA	Illumina MiSeq	ERP067363	PRJEB65014		401325	ERS1884652	SAMEA104225634	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104225634							no					Anika Winkler	ERA1038863		public	3E68B4B774F1A9E3C17C5CE96698502A	8103148170E969F667BB861A67F73EC2		
ERX2351092	ERR2299755	2018-02-13 07:58:42	2018-02-13 13:57:45	14221037	711051850	0	50	492		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/ERR2299755/ERR2299755.1	unspecified	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2500	ERP105223	PRJEB23469		428826	ERS2200165	SAMEA104588883	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104588883							no					SCHOOL OF VETERINARY MEDICINE	ERA1209399		public	8F137907CFC1E81C89E946CCE580A405	CC6CDDC3A912BB7D43AE404A9961038A		
ERX2351093	ERR2299756	2018-02-13 07:58:42	2018-02-13 13:57:54	12883281	644164050	0	50	447		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/ERR2299756/ERR2299756.1	unspecified	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2500	ERP105223	PRJEB23469		428826	ERS2200166	SAMEA104588884	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104588884							no					SCHOOL OF VETERINARY MEDICINE	ERA1209399		public	EF1CEED172BBF2671FF9A07245A3F382	9E72EDF7B014578B7AF8C0C4ABBFF478		
ERX2351094	ERR2299757	2018-02-13 07:58:42	2018-02-13 13:57:17	13017432	650871600	0	50	449		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/ERR2299757/ERR2299757.1	unspecified	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2500	ERP105223	PRJEB23469		428826	ERS2200167	SAMEA104588885	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104588885							no					SCHOOL OF VETERINARY MEDICINE	ERA1209399		public	88F08AA1729910F9C725E15BF4E6E7DA	0A127916FA6EC19A8CFB398837B527A1		
ERX2351095	ERR2299758	2018-02-13 07:58:42	2018-02-13 13:57:12	13883601	694180050	0	50	477		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/ERR2299758/ERR2299758.1	unspecified	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2500	ERP105223	PRJEB23469		428826	ERS2200168	SAMEA104588886	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104588886							no					SCHOOL OF VETERINARY MEDICINE	ERA1209399		public	6D34CA24ACEBCF9453C1379AE9101E72	C65C8B7B88C464F339D47E0CBFFE550C		
ERX2351096	ERR2299759	2018-02-13 07:58:42	2018-02-13 13:56:45	9191574	459578700	0	50	317		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/ERR2299759/ERR2299759.1	unspecified	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2500	ERP105223	PRJEB23469		428826	ERS2200169	SAMEA104588887	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104588887							no					SCHOOL OF VETERINARY MEDICINE	ERA1209399		public	607D6E036CDAFFD28DC3F43489A5EDAC	97A82E766C2E6D9A12BCE4851340F6F5		
ERX2351097	ERR2299760	2018-02-13 07:58:42	2018-02-13 13:56:56	10499966	524998300	0	50	363		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/ERR2299760/ERR2299760.1	unspecified	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2500	ERP105223	PRJEB23469		428826	ERS2200170	SAMEA104588888	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA104588888							no					SCHOOL OF VETERINARY MEDICINE	ERA1209399		public	DD148A762EE4FAB2DC03B455919138D5	93957DBE6CD4339D886DC50E2342B54E		
ERX3390646	ERR3366366	2019-06-21 07:28:16	2019-06-21 07:41:01	0	0	0	0	6319		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/ERR3366366/ERR3366366.1	mc2-7000 rep 1_s	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2500	ERP115711	PRJEB32965		550066	ERS3506993	SAMEA5703336	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA5703336							no					University at Buffalo Next-Generation Sequencing and Analysis Expression Core Facility	ERA1994199		public	835A73A490F539E68FF1333CF29FCC88	28071FA08368E2D22A77AC1D5FC0700D		
ERX3390647	ERR3366367	2019-06-21 07:28:16	2019-06-21 07:37:56	0	0	0	0	2707		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/ERR3366367/ERR3366367.1	mc2-7000 rep 2_s	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2500	ERP115711	PRJEB32965		550066	ERS3506994	SAMEA5703337	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA5703337							no					University at Buffalo Next-Generation Sequencing and Analysis Expression Core Facility	ERA1994199		public	EED2381C944D0F5AE2646AC0FDF65741	DFCFB53473027BCDD1BBCB893FF7D547		
ERX3390648	ERR3366368;ERR3366369;ERR3366370;ERR3366371	2019-06-21 07:28:16	2019-06-21 07:38:23	0	0	0	0	119		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/ERR3366371/ERR3366371.1	mc2-7000+retapamulin rep 1_p	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	31	10.0	ILLUMINA	NextSeq 500	ERP115711	PRJEB32965		550066	ERS3506995	SAMEA5703338	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA5703338							no					Sequencing Core Facility, Wadsworth Center, Albany, NY	ERA1994199		public	6364A2FC5EE9F5108A71F6681F2F0D62	D5B808B3C9E8E2E3FA3AC695036C0C5D		
ERX3390649	ERR3366372;ERR3366373;ERR3366374;ERR3366375	2019-06-21 07:28:16	2019-06-21 07:38:53	0	0	0	0	67		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/ERR3366375/ERR3366375.1	mc2-7000+retapamulin rep 2_p	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	31	10.0	ILLUMINA	NextSeq 500	ERP115711	PRJEB32965		550066	ERS3506996	SAMEA5703339	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA5703339							no					Sequencing Core Facility, Wadsworth Center, Albany, NY	ERA1994199		public	ED7A2DD234CC43E0AE7DAC60BBD7A144	D100D5149DEEB92F25CBFA7BB217C980		
